time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,22,22,7,4
2026-05-23 00:00:00+00:00,48,40,0,0
2026-05-24 00:00:00+00:00,49,45,5,2
2026-05-25 00:00:00+00:00,33,31,14,5
2026-05-26 00:00:00+00:00,127,53,3,2
2026-05-27 00:00:00+00:00,61,47,3,3
2026-05-28 00:00:00+00:00,190,29,0,0
2026-05-29 00:00:00+00:00,21,21,0,0
2026-05-30 00:00:00+00:00,39,35,5,5
2026-05-31 00:00:00+00:00,23,20,9,4
2026-06-01 00:00:00+00:00,20,18,2,2
2026-06-02 00:00:00+00:00,21,19,1,1
2026-06-03 00:00:00+00:00,13,13,4,2
2026-06-04 00:00:00+00:00,20,19,5,4
2026-06-05 00:00:00+00:00,72,40,34,5
2026-06-06 00:00:00+00:00,50,33,15,4
2026-06-07 00:00:00+00:00,54,37,3,3
2026-06-08 00:00:00+00:00,32,22,1,1
2026-06-09 00:00:00+00:00,44,27,1,1
2026-06-10 00:00:00+00:00,34,19,2,1
2026-06-11 00:00:00+00:00,26,19,5,3
2026-06-12 00:00:00+00:00,46,29,10,4
2026-06-13 00:00:00+00:00,65,43,5,4
2026-06-14 00:00:00+00:00,88,33,8,5
2026-06-15 00:00:00+00:00,47,23,2,1
